Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11769837,18:11:01.30,0,0,Main,-2.543751,502.382554,0.000000,1.783211,1396.942324,0.000000,100.060850,-0.030823,0.961954,25.241362,1.880693,0.731801,34.189961,44.943542
11769838,18:11:01.30,0,0,Main,-2.543751,502.382554,0.000000,1.783211,1396.942324,0.000000,100.060850,-0.030823,0.961954,25.241362,1.880693,0.731801,34.189961,44.943542
11769839,18:11:01.30,0,0,Main,-2.543751,502.382554,0.000000,1.783211,1396.942324,0.000000,100.060850,-0.030823,0.961954,25.241362,1.880693,0.731801,34.189961,44.943542
11769870,18:11:01.30,0,0,Main,-1.179169,503.438839,0.000000,2.490553,1395.768264,0.000000,98.446535,-0.053897,1.284281,25.246487,1.887831,0.732875,34.189961,44.943542
11769877,18:11:01.30,0,0,Main,-1.088197,502.933659,0.000000,1.075870,1395.813420,0.000000,99.784110,0.076857,1.347175,25.240508,1.885124,0.734562,34.189961,44.943542
11769880,18:11:01.30,0,0,Main,-1.088197,502.933659,0.000000,1.075870,1395.813420,0.000000,99.784110,0.076857,1.347175,25.240508,1.885124,0.734562,34.189961,44.943542
11769906,18:11:01.30,0,0,Main,-1.861460,503.163286,0.000000,1.170182,1396.445606,0.000000,100.291466,0.207611,1.410068,25.238800,1.884385,0.733718,34.192725,44.943542
11769909,18:11:01.30,0,0,Main,-1.815974,502.474405,0.000000,3.480831,1396.039201,0.000000,101.398424,0.161463,1.386483,25.237945,1.886847,0.733565,34.192725,44.943542
11769912,18:11:02.30,0,0,Main,-1.815974,502.474405,0.000000,3.480831,1396.039201,0.000000,101.398424,0.161463,1.386483,25.237945,1.886847,0.733565,34.192725,44.943542
11769915,18:11:02.30,0,0,Main,-1.815974,502.566256,0.000000,3.056426,1396.400450,0.000000,99.507370,0.222994,1.402206,25.224706,1.889800,0.734868,34.192725,44.943542
11769917,18:11:02.30,0,0,Main,-1.815974,502.566256,0.000000,3.056426,1396.400450,0.000000,99.507370,0.222994,1.402206,25.224706,1.889800,0.734868,34.192725,44.943542
11769928,18:11:02.30,-4994,-4994,Main,-2.543751,502.152927,0.000000,0.085592,1397.168105,0.000000,99.184508,-0.007749,1.370760,25.228122,1.882909,0.732261,34.192725,44.943542
11769979,18:11:02.30,-4942,-4942,Main,-3.135071,501.372194,0.000000,1.594587,1398.342164,0.000000,101.121685,0.176846,1.394345,25.218299,1.881924,0.733412,34.192725,44.684687
11770087,18:11:02.30,-4835,-4835,Main,-2.862154,502.107001,0.000000,1.547431,1396.039201,0.000000,100.014726,0.207611,1.410068,25.224279,1.887339,0.733642,34.189961,44.941329
11770195,18:11:02.30,-4725,-4725,Main,-0.860766,504.449199,0.000000,0.509997,1393.826550,0.000000,98.769398,-0.092354,1.127048,25.250758,1.881678,0.732951,33.931590,44.943542
11770294,18:11:02.30,-4627,-4627,Main,-0.587850,503.346988,0.000000,2.301928,1394.910297,0.000000,98.677152,0.030709,1.158495,25.251612,1.888323,0.733028,33.931590,44.941329
11770436,18:11:02.30,-4485,-4485,Main,-4.818056,500.683313,0.000000,-0.385969,1397.348729,0.000000,101.721287,0.238377,0.954092,25.225987,1.877001,0.729578,34.192725,44.943542
11770557,18:11:02.30,-4363,-4363,Main,-0.815280,502.933659,0.000000,2.632021,1395.813420,0.000000,98.538782,-0.030823,1.300005,25.252466,1.887093,0.733948,34.192725,44.941329
11770562,18:11:02.30,-4359,-4359,Main,-1.315627,504.035870,0.000000,3.150738,1396.581075,0.000000,100.429836,-0.000057,1.370760,25.245633,1.884631,0.734255,34.192725,44.941329
11770622,18:11:02.30,-4299,-4299,Main,-1.679516,502.658106,0.000000,2.632021,1395.090922,0.000000,99.876357,-0.061589,1.079879,25.246060,1.882416,0.731571,34.192725,44.941329
11770680,18:11:02.30,-4241,-4241,Main,-4.090278,501.923299,0.000000,-1.046155,1395.587640,0.000000,101.306178,0.153771,0.899061,25.232820,1.879955,0.730651,34.189961,44.943542
11770681,18:11:02.30,-4240,-4240,Main,-4.090278,501.923299,0.000000,-1.046155,1395.587640,0.000000,101.306178,0.153771,0.899061,25.232820,1.879955,0.730651,34.189961,44.943542
11770712,18:11:02.30,-4208,-4208,Main,-2.452779,501.785523,0.000000,0.038436,1395.723108,0.000000,100.891068,0.099931,1.386483,25.231966,1.885616,0.733488,34.195476,44.684687
11770762,18:11:02.30,-4159,-4159,Main,-0.724308,502.933659,0.000000,3.386519,1395.000610,0.000000,99.322877,-0.061589,1.237112,25.245633,1.882662,0.732645,34.195476,44.684687
11770763,18:11:02.30,-4159,-4159,Main,-0.724308,502.933659,0.000000,3.386519,1395.000610,0.000000,99.322877,-0.061589,1.237112,25.245633,1.882662,0.732645,34.195476,44.684687
11770763,18:11:02.30,-4157,-4157,Main,-0.724308,502.933659,0.000000,3.386519,1395.000610,0.000000,99.322877,-0.061589,1.237112,25.245633,1.882662,0.732645,34.195476,44.684687
