Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
57210132,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.408811,18.882542,0.041836,25.358626
57210152,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.408811,18.882542,0.041836,25.358626
57210162,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.408811,18.882542,0.041836,25.358626
57210172,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.408811,18.882542,0.041836,25.358626
57210202,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.408811,18.882542,0.041836,25.358626
57210243,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262809,0.997006,18.833818,0.042141,25.359474
57210262,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262809,0.997006,18.833818,0.042141,25.359474
57210412,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262657,1.042762,18.819836,0.039478,25.361592
57211112,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266080,1.957884,18.828733,0.039859,25.357355
57211132,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266080,1.957884,18.828733,0.039859,25.357355
57211142,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,0.859738,18.891863,0.041836,25.360745
57211152,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,0.859738,18.891863,0.041836,25.360745
57211182,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,0.859738,18.891863,0.041836,25.360745
57211202,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,0.859738,18.891863,0.041836,25.360745
57211212,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,0.859738,18.891863,0.041836,25.360745
57211252,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264406,0.859738,18.891863,0.041836,25.360745
57211312,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266004,0.813982,18.824920,0.042369,25.359050
57211432,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,0.676713,18.744843,0.042065,25.353118
57211442,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,0.676713,18.744843,0.042065,25.353118
57211472,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,0.676713,18.744843,0.042065,25.353118
57211502,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264634,0.676713,18.744843,0.042065,25.353118
57211523,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262733,-0.009629,18.836360,0.040163,25.354389
